status_id,permalink,created_time,share_text,image_text_py,image_text_ms,ms_cv_caption,clarifai_tags,clarifai_tags_prob,reposted,original,repost,repost_order,times_repost,days_bet_repost
150424302108405_187355225081979,https://www.facebook.com/150424302108405_187355225081979,19/02/2017 17:00,"""Me last night.""","ordering tacos after the
club like","ordering tacos after the
club like",Jim Carrey that is posing for a photo,"adult,man,people,horizontal,business,indoors,portrait,communication,office,frustration,looking,worried,confidence,cheerful,happiness,technology,uncertainty,fine-looking,facial expression,success","0.99308383,0.99297047,0.9848335,0.98027,0.9774537,0.974218,0.95374095,0.9489405,0.9070984,0.888496,0.8850702,0.8678048,0.86370647,0.84722817,0.8450122,0.8442155,0.84213626,0.8366363,0.8310448,0.8292382",0,1,0,,,
150424302108405_192360427914792,https://www.facebook.com/150424302108405_192360427914792,21/02/2017 17:00,"""The micheladas are in full bloom.""","when all the cups
are dirty","when all the cups
are dirty",a bottle of orange juice,"glass,drink,no person,bar,alcohol,bottle,liquid,traditional,desktop,health,beer,isolate,food,cold,wood,wine,retro,whisky,isolated,summer","0.9832379,0.97570735,0.9744544,0.9603827,0.95752245,0.93974876,0.9151417,0.9126787,0.90416384,0.8627373,0.8531537,0.846284,0.8455254,0.83815986,0.83646333,0.834572,0.8190383,0.81188554,0.79917157,0.7927677",0,1,0,,,
150424302108405_192919597858875,https://www.facebook.com/150424302108405_192919597858875,23/02/2017 17:00,"""Every damn time.""","when you're telling a funny story
to your parents but they're about
to turn it into a life lesson","when you're telling a funny story
to your parents but they're about
to turn it into a life lesson",Steve Harvey et al. standing next to a man in a suit and tie,"man,people,portrait,adult,business,wear,administration,battle,election,indoors,profile,fine-looking,leader,actor,bald,politician,festival,facial expression,angry,serious","0.9902116,0.9765373,0.9615325,0.94633424,0.941755,0.9259981,0.87815547,0.87057555,0.8564633,0.8420347,0.8319877,0.8126334,0.8051317,0.79890144,0.79715586,0.7935432,0.7885074,0.78526235,0.76619357,0.75946546",0,1,0,,,
150424302108405_194608734356628,https://www.facebook.com/150424302108405_194608734356628,24/02/2017 17:00,Being a real super hero.,"ex: I miss u
me:
No pos que chido","ex: I miss u
me:
No pos que chido",a picture of herself in a mirror,"illustration,vector,vicious,head,symbol,art,Halloween,horizontal,skittish,biology,monster,blood,design,sketch,fear,graphic,horror,silhouette,people,science","0.9945229,0.93429255,0.9164753,0.9040311,0.9003314,0.89352953,0.8834356,0.87506247,0.8410214,0.81319404,0.8024463,0.8009216,0.7999609,0.79435176,0.7878295,0.78288615,0.7785294,0.76949215,0.76291394,0.7551576",0,1,0,,,
150424302108405_195956490888519,https://www.facebook.com/150424302108405_195956490888519,27/02/2017 17:00,Just gotta sit there and take it.,"when your mom is telling your tías
your business in front of you","when your mom is telling your tías
your business in front of you",a cat that is looking at the camera,"animal,cute,fur,pet,mammal,cat,little,young,domestic,funny,sit,dog,looking,eye,purebred,canine,portrait,downy,kitten,staring","0.9950061,0.99041724,0.9817004,0.976356,0.97293365,0.96080697,0.96067554,0.95520663,0.95392656,0.94777966,0.94765866,0.94748676,0.9447844,0.94002306,0.9388921,0.9257656,0.9157016,0.91453576,0.8943464,0.88855696",0,1,0,,,
150424302108405_195956994221802,https://www.facebook.com/150424302108405_195956994221802,28/02/2017 17:00,This is why I wear longsleeves year round.,"me: I got my first tattoo!
mom:","me: I got my first tattoo!
mom:",person holding a sign,"people,adult,woman,man,street,child,outdoors,city,horizontal,motion,portrait,road,event,togetherness,fun,editorial,festival,celebration,sport,family","0.9940435,0.9691585,0.9688885,0.9571078,0.9293827,0.9245157,0.9053905,0.88685685,0.8825942,0.84757495,0.83279467,0.82307166,0.7929579,0.78120506,0.7801088,0.77047276,0.76026523,0.7517611,0.73944783,0.72860825",0,1,0,,,
150424302108405_196102530873915,https://www.facebook.com/150424302108405_196102530873915,2/03/2017 17:00,He don't know how bad it's gonna burn tomorrow.,"when your friend realizes he can't handle
your mom's homemade hot sauce","when your friend realizes he can't handle
your mom's homemade hot sauce",a man in a suit and tie,"people,man,dark,portrait,serious,headshot,pensive,intelligence,fine-looking,attitude,child,face,bald,worried,one,surprise,eye,scared,staring,angry","0.972117,0.9698292,0.942135,0.9400157,0.9288288,0.88722473,0.88569677,0.8826299,0.8726059,0.86352193,0.8574083,0.85335493,0.8531935,0.8472369,0.8383106,0.83475375,0.82742333,0.81948996,0.8142363,0.81281054",0,1,0,,,
150424302108405_197008227450012,https://www.facebook.com/150424302108405_197008227450012,3/03/2017 17:00,Me and my big mouth...,"me: imma drink all the tequila shots
tonight
me tomorrow morning:","me: imma drink all the tequila shots
tonight
me tomorrow morning:",a red and white photo,"laundry,home appliance,technology,illustration,temperature,horizontal,heat,laundry facility,modern,dryer,no person,vector,vertical,design,square,stove,equipment,indoors,housework,washer","0.9849179,0.97410166,0.9549719,0.95169103,0.94447947,0.9444294,0.9347912,0.92935634,0.9154614,0.90961885,0.9092137,0.9055972,0.8812789,0.8808559,0.8784292,0.86664003,0.8666171,0.8576522,0.8408009,0.83741516",0,1,0,,,
150424302108405_197450470739121,https://www.facebook.com/150424302108405_197450470739121,4/03/2017 17:00,You still my boy anyway...,"when you see your boy about
to put his foot in his mouth","when you see your boy about
to put his foot in his mouth",a close up of two giraffes near a tree,"illustration,vector,sketch,humor,vectors,child,horizontal,man,funny,viral vector,woman,people,art,character,fun,fatigue,cute,animal,graphic,isolated","0.9982103,0.9928298,0.9910897,0.95203847,0.94846654,0.94820726,0.940009,0.9377458,0.92677265,0.924115,0.9186132,0.9054675,0.9008682,0.8984169,0.89656126,0.8898615,0.8856031,0.87771523,0.8474808,0.84592474",0,1,0,,,
150424302108405_197894014028100,https://www.facebook.com/150424302108405_197894014028100,5/03/2017 17:00,It's still the weekend...,"when you say ""just one
drink"" 'cuz you got work
in the morning:
next day at your job like:","when you say ""just one
drink"" 'cuz you got work
in the morning:
next day at your job like:",a bunch of bananas,"illustration,no person,vector,woman,card,isolated,cute,elegant,child,people,paper,desktop,fashion,business,fun,design,banner,man,retro,art","0.9550141,0.93621457,0.91122174,0.90926063,0.8866626,0.8865222,0.87515986,0.8651997,0.86385286,0.8612546,0.86049044,0.85267633,0.8446702,0.84289396,0.8364727,0.81866467,0.81329805,0.8110993,0.80412734,0.78964293",0,1,0,,,
150424302108405_199538530530315,https://www.facebook.com/150424302108405_199538530530315,6/03/2017 17:00,I would be this ripped.,"me if eating tacos gave
you abs","me if eating tacos gave
you abs",a man sitting in front of a crowd,"strength,strong,brawny,fitness,influencer,man,athlete,sport,muscle,bodybuilding,biceps,exercise,fine-looking,weightlifting,body,trainer,masculinity,guy,vigorous,torso","0.9985187,0.9984547,0.99780756,0.9957453,0.9957285,0.99537385,0.99470127,0.9941446,0.99353564,0.99306846,0.9921832,0.98336124,0.9796878,0.97826034,0.9770097,0.9736997,0.9705131,0.966994,0.96349394,0.96084774",0,1,0,,,
150424302108405_199993570484811,https://www.facebook.com/150424302108405_199993570484811,7/03/2017 17:00,My family recycled before it was 'in'.,"from mole container to
fancy glassware","from mole container to
fancy glassware",a close up of a person holding a dog,"dog,vertical,indoors,food,animal,sit,people,cute,fun,no person,box,drink,glass,desktop,little,child,hungry,humor,care,bowl","0.93840545,0.9142177,0.91247845,0.9081304,0.8775654,0.87715006,0.87074685,0.8693305,0.86790264,0.85330236,0.8374097,0.827115,0.8177421,0.8135195,0.80692005,0.80537355,0.7780938,0.7776463,0.75493217,0.748963",0,1,0,,,
150424302108405_200161343801367,https://www.facebook.com/150424302108405_200161343801367,9/03/2017 14:00,That's cold.,"when your bro eats the last
paleta right in front of you","when your bro eats the last
paleta right in front of you",a close up of a tooth brush,"eye,animal,nature,cute,funny,isolated,wildlife,face,illustration,wild,desktop,wood,little,scary,staring,angry,fear,one,looking,monster","0.9832657,0.971712,0.96272343,0.9503306,0.9445312,0.9340451,0.9264679,0.9251305,0.90073293,0.89932764,0.8894921,0.88236654,0.87069094,0.85996425,0.85519004,0.83873576,0.838174,0.8350751,0.8224207,0.81730866",0,1,0,,,
150424302108405_201257517025083,https://www.facebook.com/150424302108405_201257517025083,10/03/2017 17:00,My dude already dead.,"when you sneaking a taste of
mom's cooking, but she right
behind you","when you sneaking a taste of
mom's cooking, but she right
behind you",a cat laying on top of a sheep,"horizontal,people,woman,adult,indoors,man,young,isolated,outdoors,mammal,animal,old,danger,force,fear,fatigue,illustration,fashion,portrait,sleep","0.96736765,0.95847595,0.9534682,0.9360705,0.9166815,0.9115267,0.8778509,0.86918145,0.82521033,0.8221016,0.8095906,0.78585345,0.7611964,0.76050055,0.7596351,0.75484,0.7445396,0.74210787,0.7383436,0.7367798",0,1,0,,,
150424302108405_201699233647578,https://www.facebook.com/150424302108405_201699233647578,11/03/2017 17:00,Time to upgrade...,"when you're using the old
version of windows...","when you're using the old
version of windows...",a toy truck,"illustration,wood,no person,isolated,vector,sketch,horizontal,equipment,security,technology,outdoors,business,retro,gun,weapon,education,desktop,safety,old,danger","0.9385637,0.9274163,0.91314286,0.8793526,0.8723339,0.8553995,0.8520539,0.84206915,0.8383571,0.8313931,0.8287091,0.818969,0.8075896,0.7953135,0.77298534,0.7655725,0.7608839,0.7541032,0.7447896,0.7433271",0,1,0,,,
150424302108405_201699366980898,https://www.facebook.com/150424302108405_201699366980898,12/03/2017 16:00,When you're about to get interrogated...,"her: why do you have a passcode
on your phone?
me:","her: why do you have a passcode
on your phone?
me:",a pair of skis,"illustration,horizontal,business,people,vector,sketch,desktop,communication,adult,humor,man,fatigue,art,design,child,technology,symbol,fun,modern,animal","0.9924723,0.9528439,0.9442275,0.9376918,0.9306246,0.902743,0.8758023,0.8744887,0.86964834,0.86484385,0.86337054,0.8488349,0.8343318,0.8310844,0.81806946,0.81336254,0.8121023,0.80785966,0.79875517,0.79661083",0,1,0,,,
150424302108405_203326543484847,https://www.facebook.com/150424302108405_203326543484847,13/03/2017 16:00,My feet every Saturday morning.,"your shoe game when your mom yells
at you to help her with el mercado","your shoe game when your mom yells
at you to help her with el mercado",a close up of a tooth brush,"health,aid,illness,healthcare,skin,isolated,pain,man,medicine,medical,horizontal,hand,bandage,communication,desktop,paper,human,people,addiction,business","0.9754007,0.957687,0.9559288,0.9477485,0.94109005,0.9383838,0.93698484,0.9065588,0.90558404,0.89576364,0.87668663,0.87442315,0.8707469,0.86040723,0.85948694,0.8482473,0.8437264,0.83075345,0.8275757,0.8264575",0,1,0,,,
150424302108405_203783916772443,https://www.facebook.com/150424302108405_203783916772443,14/03/2017 13:02,And it’s only 9 a.m.,"when you wake up and have 21 texts from
your novia asking why you didn't answer
her call last night","when you wake up and have 21 texts from
your novia asking why you didn't answer
her call last night",Pharrell Williams laying in bed reading a book,"bed,sleep,horizontal,people,portrait,bedroom,indoors,man,fatigue,relaxation,adult,child,bedtime,pillow,sadness,content,blanket,sheet,contemplation,headshot","0.99389684,0.98764026,0.98628414,0.98579776,0.9842932,0.98317456,0.97500956,0.96642995,0.96064734,0.9529805,0.95000887,0.94176865,0.9204508,0.9123428,0.9005103,0.8918208,0.88902235,0.8870336,0.8783933,0.85789126",0,1,0,,,
150424302108405_204274623390039,https://www.facebook.com/150424302108405_204274623390039,15/03/2017 13:00,"Internally says ""don't cry, don't cry, don't cry...""","when my family starts chanting
'quiere Ilorar, quiere Ilorar'","when my family starts chanting
'quiere Ilorar, quiere Ilorar'",a man in a hat using a cell phone,"man,people,portrait,indoors,horizontal,adult,serious,sport,sitting,competition,beard,looking,fine-looking,headshot,car,dark,stubble,business,young,contemplation","0.994971,0.97594106,0.9666842,0.94886905,0.94018716,0.94001603,0.9165858,0.9077103,0.88607836,0.87284225,0.86659235,0.8647419,0.8351923,0.81515825,0.81250995,0.79227424,0.7771919,0.752146,0.7506617,0.7499589",0,1,0,,,
150424302108405_204384480045720,https://www.facebook.com/150424302108405_204384480045720,16/03/2017 13:00,Complete betrayal.,"when your primo invites someone
new to hang out with your group
What, I'm not good enough for you?","when your primo invites someone
new to hang out with your group
What, I'm not good enough for you?",a man and a woman pose for a photo,"adult,man,people,indoors,horizontal,portrait,sit,serious,sitting,side view,contemplation,vertical,headshot,business,togetherness,confidence,sadness,window,looking,concentration","0.9927821,0.99243057,0.9914337,0.9842739,0.9780779,0.9681956,0.9454241,0.943071,0.9362837,0.9337134,0.91381884,0.89090884,0.86205196,0.860723,0.8308077,0.82486016,0.8133975,0.80839753,0.80668676,0.79334927",0,1,0,,,
150424302108405_204410390043129,https://www.facebook.com/150424302108405_204410390043129,17/03/2017 13:00,We've all gone through this.,"when she's crazy but you still
love her","when she's crazy but you still
love her",Javier Hernandez talking on a cell phone,"people,man,portrait,adult,person,horizontal,business,communication,indoors,competition,headshot,collage,sport,championship,actor,desktop,serious,one,text,vertical","0.98107606,0.97966516,0.97072375,0.9640604,0.9417095,0.9358947,0.9024228,0.89532036,0.8849485,0.8118627,0.8038827,0.7933937,0.7881486,0.77476406,0.7636484,0.7557968,0.7343398,0.72284806,0.7190726,0.70867777",0,1,0,,,
150424302108405_205580559926112,https://www.facebook.com/150424302108405_205580559926112,18/03/2017 13:00,I'll be right there!,"when your mom says
a comer","when your mom says
a comer",a man and a woman pose for a picture,"people,man,horizontal,outdoors,adult,nature,portrait,summer,woman,sport,vitality,freedom,communication,togetherness,fear,vertical,battle,strength,young,side view","0.98873043,0.97963876,0.9744065,0.9696829,0.96393543,0.95780885,0.89154476,0.8841347,0.8683007,0.84951854,0.82345927,0.78939927,0.7815242,0.78071475,0.7795121,0.7766894,0.76515853,0.7630236,0.75663126,0.74165297",0,1,0,,,
150424302108405_205580666592768,https://www.facebook.com/150424302108405_205580666592768,19/03/2017 13:00,Before you can even blame your brother. :unamused:,"when you're innocent but your
mom is already reaching for
the chancla","when you're innocent but your
mom is already reaching for
the chancla",person on a cell phone,"horizontal,people,man,adult,outdoors,portrait,woman,indoors,contemplation,lid,side view,business,serious,fatigue,sadness,sitting,wear,headshot,togetherness,relaxation","0.98991096,0.97459984,0.97392094,0.9473076,0.8887228,0.8866834,0.88301146,0.8807007,0.8594735,0.84976697,0.8396153,0.76763284,0.7586317,0.73369765,0.7297988,0.72392726,0.72282624,0.7149099,0.71485865,0.7073792",0,1,0,,,
150424302108405_205580429926125,https://www.facebook.com/150424302108405_205580429926125,20/03/2017 13:00,Never ask me that.,"how many pupusas did you
eat?
I don't know I wasn't counting","how many pupusas did you
eat?
I don't know I wasn't counting",Marko Grujic holding a laptop,"horizontal,man,people,business,presentation,blank,portrait,adult,serious,contemplation,communication,bill,headshot,education,intelligence,identity,banner,confidence,indoors,uncertainty","0.9915201,0.99114585,0.9859223,0.96919644,0.96435165,0.9624985,0.96230376,0.9417416,0.9392972,0.9367524,0.92789364,0.92238045,0.9075023,0.9035014,0.8823312,0.87786347,0.87488,0.8722482,0.8669144,0.86541736",0,1,0,,,
150424302108405_208367186314116,https://www.facebook.com/150424302108405_208367186314116,21/03/2017 13:22,I'm not leaving until this song is over.,"when it's last call and they play
tragos de amargo licor","when it's last call and they play
tragos de amargo licor",a group of people smiling for the camera,"people,adult,man,woman,business,horizontal,indoors,portrait,togetherness,communication,friendship,shouting,happiness,battle,meeting,cheerful,frustration,politician,administration,couple","0.986705,0.979442,0.971189,0.9681453,0.950985,0.93991137,0.9274772,0.9225496,0.89872277,0.89321405,0.8758173,0.86705804,0.86553425,0.85330725,0.82278275,0.79359555,0.79129106,0.7868703,0.7826152,0.7376384",0,1,0,,,
150424302108405_209651532852348,https://www.facebook.com/150424302108405_209651532852348,23/03/2017 19:00,"Somehow, there is always room for one more...even when there isn't.","latinos be like:
""there's still room for one more.""","latinos be like:
""there's still room for one more.""",a group of people riding on the back of a red car,"transportation system,travel,car,trip (journey),man,woman,people,luggage,outdoors,adult,tourist,road,horizontal plane,freedom,tourism,convertible,adventure,horizontal,fun,wait","0.98189294,0.97971153,0.9768809,0.9742053,0.973779,0.9734159,0.9657711,0.9643574,0.9607614,0.9520384,0.9454582,0.93414783,0.91354537,0.89240307,0.89206815,0.88441956,0.8790232,0.8686849,0.8638454,0.85117626",0,1,0,,,
150424302108405_209685379515630,https://www.facebook.com/150424302108405_209685379515630,24/03/2017 13:00,"You have latinos to thank for this flavor, you're welcome.","share if you agree this is the
best flavor hands down
LIMON
PEPINO","share if you agree this is the
best flavor hands down
LIMON
PEPINO",a green bottle,"no person,bottle,plastic,container,recycling,health,drink,liquid,merchandise,clean,horizontal,empty,healthcare,isolated,glass,cola,safety,pollution,medicine,cap","0.99418426,0.98734915,0.98424256,0.9817921,0.9733851,0.9619461,0.9236295,0.9190892,0.90317,0.88854635,0.8565861,0.8492693,0.8358651,0.83367735,0.8282756,0.8272835,0.81254625,0.803491,0.8015393,0.8013326",0,1,0,,,
150424302108405_209692646181570,https://www.facebook.com/150424302108405_209692646181570,25/03/2017 13:00,Pain for pleasure.,"if fifty shades was created
by latinos","if fifty shades was created
by latinos",person in a suit and tie,"people,man,business,horizontal,adult,monochrome,indoors,vertical,serious,tie,intelligence,dinner jacket,petition,formalwear,portrait,suit,confidence,education,uncertainty,achievement","0.9864373,0.9842589,0.9778592,0.962904,0.9313087,0.9303237,0.9234598,0.91513866,0.8763752,0.8395322,0.8349501,0.82052577,0.8163927,0.8125397,0.8049052,0.8027668,0.7950162,0.7760344,0.75522554,0.752328",0,1,0,,,
150424302108405_211514882666013,https://www.facebook.com/150424302108405_211514882666013,27/03/2017 13:00,Finally a real man!,"when you passed your driver's
test","when you passed your driver's
test",a person with a cell phone,"man,people,horizontal,indoors,adult,portrait,young,battle,woman,looking,person,business,communication,fun,adolescent,isolated,angry,desktop,sport,outdoors","0.97623646,0.9677143,0.9624907,0.9070263,0.90641963,0.902495,0.88124704,0.836715,0.83573806,0.82517827,0.82053673,0.8155347,0.79500663,0.78507054,0.7794104,0.76658523,0.7616558,0.7342379,0.7187234,0.7124604",0,1,0,,,
150424302108405_212064962611005,https://www.facebook.com/150424302108405_212064962611005,28/03/2017 13:00,Upcoming video game for summer lol.,"if mario bros. had been created
by mexicans","if mario bros. had been created
by mexicans",a screenshot of a tree,"World Wide Web,tag,template,label,banner,graphic,layout,vectors,procedure,page,information,promotion,business,company,bill,designing,facts,text,illustration,desktop","0.9925399,0.9912379,0.9872732,0.9787482,0.9632264,0.958164,0.9511483,0.94742906,0.94670177,0.9430796,0.9384522,0.93412125,0.9312978,0.9199116,0.9174552,0.91611254,0.9109627,0.9018535,0.9013512,0.89084935",0,1,0,,,
150424302108405_212149049269263,https://www.facebook.com/150424302108405_212149049269263,29/03/2017 13:00,Why does she always have to do that?,"when your mom calls you to come
and eat but la comida no está lista","when your mom calls you to come
and eat but la comida no está lista",Kanye West et al. posing for a photo,"man,indoors,people,adult,horizontal,portrait,headshot,sitting,serious,vertical,togetherness,friendship,looking,sit,communication,military,business,battle,happiness,outdoors","0.99663246,0.99235284,0.98926187,0.98914564,0.98839116,0.9863008,0.95570964,0.9553982,0.9537083,0.94149226,0.92598164,0.9053308,0.88258326,0.8799843,0.8685578,0.86485136,0.8616921,0.8377104,0.82302237,0.8212259",0,1,0,,,
150424302108405_212639152553586,https://www.facebook.com/150424302108405_212639152553586,31/03/2017 13:00,"Girl, why you always lyin'?","every guy knows this is the official
'no estoy enojada face'","every guy knows this is the official
'no estoy enojada face'",a woman sitting on a bed,"people,woman,adult,sit,relaxation,horizontal,indoors,portrait,looking,young,cute,pretty,girl,anticipation,child,happiness,one,bed,family,wait","0.9844956,0.97982514,0.9774135,0.97634786,0.9626684,0.96233964,0.9604187,0.93573153,0.89719915,0.8937025,0.8845387,0.8750761,0.86755204,0.86099577,0.8574321,0.853676,0.85139596,0.8278221,0.8217373,0.8124863",0,1,0,,,
150424302108405_213177325833102,https://www.facebook.com/150424302108405_213177325833102,1/04/2017 13:00,Pos NiEntiendo <f0><U+009F><U+0098><U+0082> .,"latina moms be like
NlNTENDO
NINTENDO
NINTENDO
Nintendo
NINTENDO","latina moms be like
NlNTENDO
NINTENDO
NINTENDO
Nintendo
NINTENDO",a cell phone,"illustration,business,text,tag,graphic,desktop,designing,symbol,World Wide Web,internet,education,cloud,banner,facts,management,promotion,communication,conceptual,bill,identity","0.9693322,0.9671899,0.9374537,0.93026596,0.92774755,0.9220754,0.9176369,0.9162487,0.90436107,0.89830476,0.859162,0.85756445,0.85490876,0.8547737,0.8524097,0.85213727,0.8418075,0.8351593,0.8339412,0.8276336",0,1,0,,,
